product_id,slug,title,category_slug,category_name
2950,uf-8-30-ps,Ультрафильтрационный половолоконный модуль УФ-8-30-ПС,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
3496,modul-uf-3-10-ps,Ультрафильтрационный половолоконный модуль УФ-3-10-ПС,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
3752,modul-uf-24-100-pvh,Ультрафильтрационный половолоконный модуль УФ-24-100-ПВХ,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
2858,uf-3-30-ps,Ультрафильтрационный половолоконный модуль УФ-3-20-ПС,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
2940,uf-2-100-pvdf,Ультрафильтрационный половолоконный модуль УФ-2-100-ПВДФ,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
2956,uf-3-15-ps,Ультрафильтрационный половолоконный модуль УФ-3-15-ПС,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
2928,uf-7-100-pvdf,Ультрафильтрационный половолоконный модуль УФ-7-100-ПВДФ,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
3379,uf-2p-300-pvdf,Половолоконный погружной модуль УФ-2П-300-ПВДФ,pogruzhnoj-membrannyj-filtr,Погружные мембранные фильтры
3476,modul-uf-8-100-ps,Ультрафильтрационный половолоконный модуль УФ-8-100-ПС,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
3221,4p-300-pvdf,Половолоконный погружной модуль УФ-4П-300-ПВДФ,pogruzhnoj-membrannyj-filtr,Погружные мембранные фильтры
2524,uf-7-300-pvdf,Ультрафильтрационный половолоконный модуль УФ-7-300-ПВДФ,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
3485,modul-uf-3-100-ps,Ультрафильтрационный половолоконный модуль УФ-3-100-ПС,ultrafiltracionnye-membrannye-moduli,Ультрафильтрационные мембранные модули
